,PL No,Description,TAGS
0,90354114,MS Flat 32x6 mm,"['ms', 'flat', '32x6', 'mm']"
1,90350868,MS Flat 30x12 mm,"['ms', 'flat', '30x12', 'mm']"
2,90350844,Flat Steel 50x8 mm,"['flat', 'steel', '50x8', 'mm']"
3,90350583,MS Flat 40x6 mm,"['ms', 'flat', '40x6', 'mm']"
4,90350212,MS FLat 25x6 mm,"['ms', 'flat', '25x6', 'mm']"
5,90361714,MC STEEL HEX BAR 38 MM,"['mc', 'steel', 'hex', 'bar', '38', 'mm']"
6,90367170,M C HEX BAR 23.81 MM STEEL,"['m', 'c', 'hex', 'bar', '23', '81', 'mm', 'steel']"
7,90361702,M C HEX BAR(28.60MM),"['m', 'c', 'hex', 'bar', '28', '60mm']"
8,90367170,M C HEX BAR 23.81 MM STEEL,"['m', 'c', 'hex', 'bar', '23', '81', 'mm', 'steel']"
9,90210013,Cross Beam Small,"['cross', 'beam', 'small']"
10,90211066,STANDARD MEDIUM FLANGE BEAM 150 X75 X05MM,"['standard', 'medium', 'flange', 'beam', '150', 'x75', 'x05mm']"
11,90701008,M.S.WIRE 0.90 MM DIA,"['m', 's', 'wire', '0', '90', 'mm', 'dia']"
12,90701057,"WIRE STEEL MILD GALVANISED 1.60 MM DIA,16SWG","['wire', 'steel', 'mild', 'galvanised', '1', '60', 'mm', 'dia', '16swg']"
13,90706950,wagon Sealing wire of soft mild steel Galvanised wire of 0.9 mm dia,"['wagon', 'sealing', 'wire', 'of', 'soft', 'mild', 'steel', 'galvanised', 'wire', 'of', '0', '9', 'mm', 'dia']"
14,42012004,HREE PIN PLUG ,"['hree', 'pin', 'plug']"
15,42010019,"Plug top, 3-pin, 5A/6 A, 230V/250V, 50Hz, AC","['plug', 'top', '3', 'pin', '5a', '6', 'a', '230v', '250v', '50hz', 'ac']"
16,42010676,"Plug top, 5-pin, 5A/6 A, 230V/250V, 50Hz, AC","['plug', 'top', '5', 'pin', '5a', '6', 'a', '230v', '250v', '50hz', 'ac']"
17,42010690,"Plug top, 6-pin, 5A/6 A, 230V/250V, 50Hz, AC","['plug', 'top', '6', 'pin', '5a', '6', 'a', '230v', '250v', '50hz', 'ac']"
18,42020025,"Switch Piano type, 5A/6A, 1 pole, 1-way, 230V/250V, 50 Hz, AC,","['switch', 'piano', 'type', '5a', '6a', '1', 'pole', '1', 'way', '230v', '250v', '50', 'hz', 'ac']"
19,42029363,"10 Amps, 1 Way Modular Switch ","['10', 'amps', '1', 'way', 'modular', 'switch']"
20,42021131,Push Switch actuators with contact block,"['push', 'switch', 'actuators', 'with', 'contact', 'block']"
21,42021650,"TOGGLE SWITCH 15 AMPS 250 VOLTS AC/DC, single pole","['toggle', 'switch', '15', 'amps', '250', 'volts', 'ac', 'dc', 'single', 'pole']"
22,42027949,"Power Contactor 630 Amps, 1000 V, 3 pole, AC ","['power', 'contactor', '630', 'amps', '1000', 'v', '3', 'pole', 'ac']"
23,42114986,TUBULAR FLOURESCENT LAMP 18 WATTS,"['tubular', 'flourescent', 'lamp', '18', 'watts']"
24,42110221,LED BULB 5 WATT,"['led', 'bulb', '5', 'watt']"
25,42114986,"Lamp flourescent day light Bi pin dimension 600mm x 26 mm. 18Watt, 230V","['lamp', 'flourescent', 'day', 'light', 'bi', 'pin', 'dimension', '600mm', 'x', '26', 'mm', '18watt', '230v']"
26,42119182,"HALOGEN LAMP 24V, 100W","['halogen', 'lamp', '24v', '100w']"
27,42114986,ISI MARKED XLPE INSULATED,"['isi', 'marked', 'xlpe', 'insulated']"
28,42502101,"Electric Ceiling Fan Capacitor Type Sweep Size (mm): 1200, type 30 inch, 415V, 3-phase, 2 HP wall bracket Fan with 2 HP starter","['electric', 'ceiling', 'fan', 'capacitor', 'type', 'sweep', 'size', 'mm', '1200', 'type', '30', 'inch', '415v', '3', 'phase', '2', 'hp', 'wall', 'bracket', 'fan', 'with', '2', 'hp', 'starter']"
29,42500023,CABIN COOLING FAN SWEEP 300 MM WATTS 70 VOLTS 220 AC,"['cabin', 'cooling', 'fan', 'sweep', '300', 'mm', 'watts', '70', 'volts', '220', 'ac']"
